imdb_id,cast,director,keywords,genres,production_companies
tt4442130,Robert Duvall|James Franco|Darien Willardson|Angie Cepeda|Devon Abner,Robert Duvall,texas-ranger|dirty-cop|gay|horseback-riding|father-son-relationship,Crime|Drama|Western,Patriot Pictures
tt4938416,Dee Bradley Baker|Troy Baker|John DiMaggio|Grey Griffin|Mark Hamill,Rick Morales,dc-comics|lego|based-on-comic-book|based-on-toy|superhero,Animation|Action|Adventure|Comedy|Family,Warner Bros. Animation|DC Entertainment|The LEGO Group
tt5133572,Danica McKellar|Rupert Penry-Jones|Ellie Botterill|Pavel Douglas|Colin McFarlane,Alex Zamm,christmas|adolescent|chores|dinner|embarrassment,Comedy|Drama|Family|Romance,Brad Krevoy Television|Motion Picture Corporation of America
tt2718440,Ron Perlman|Rupert Grint|Robert Sheehan|Stephen Campbell Moore|Eric Lampaert,Antoine Bardou-Jacquet,moon-landing|watching-tv|bare-butt|bare-chested-male|disguise,Action|Comedy,Partizan Films|Nexus Factory|Potemkino
tt2621446,Walter Koenig|Adrienne Wilkinson|Manu Intiraymi|Corin Nemec|Gary Graham,No data in IMDb,psychotronic-series,Action|Adventure|Sci-Fi,Atomic Studios|Skyway Productions|ST Renegades
tt2443822,David Morse|Jared Breeze|Rainn Wilson|Bill Sage|Mike Vogel,Craig William Macneill,9-year-old|murder|child-with-a-knife|son-murders-father|patricide,Drama|Horror|Thriller,SpectreVision|Chiller Films|Contento Films
tt3442990,Viola Davis|Aml Ameen|Ron Caldwell|Yolonda Ross|Michole Briana White,Charles Stone III,revenge|female-protagonist|murderess|murder|violence,Crime|Drama|Thriller,A+E Studios|ChickFlicks Productions|JuVee Productions|Lifetime Films
tt2386404,Henry Rollins|Booboo Stewart|Kate Greenhouse|Jordan Todosey|David Richmond-Peck,Jason Krawczyk,immortal|bullet-extraction|father-daughter-relationship|vampire|headshot,Comedy|Drama|Fantasy|Horror|Thriller,Alternate Ending Studios
tt2784134,Caon Mortenson|Garrett Coffey|Charlene Tung|Taylor Coliee|Riley Jane,Simon Hung,alien|post-apocalypse,Action|Adventure|Fantasy|Mystery|Sci-Fi,Lastlink Films Production|Light and Shadow Pictures|Mr.Monster|Sun Entertainment Culture
tt2262161,Ken Blackburn|Mark Bonnar|Stuart Bowman|Emily-Jane Boyle|Ewan Comes,Terence Davies,1910s|farmer|scottish|love|female-frontal-nudity,Drama,Hurricane Films|Iris Productions|SellOutPictures|Iris Group
tt2049543,Chad McKnight|Brianne Davis|AJ Bowen|Scott Poythress|Michael Ironside,Jacob Gentry,fainting-man|woman-flashes-her-leg|woman-wears-a-see-through-blouse|woman-wears-black-lingerie|dahlia,Drama|Mystery|Romance|Sci-Fi,Soapbox Films|POP Films
tt5133810,Katrina Law|Aaron O'Connell|Donna Mills|Melanie Nelson|Alesandra Durham,Peter Sullivan,christmas-romance|new-york-city-new-york|artist|painting|aunt-niece-relationship,Comedy|Romance,Hybrid|Mayor Entertainment
tt4167720,Jack Campbell|Anna Lise Phillips|Katie Moore|Hamish Phillips|Charles Mayer,Nick Robertson,dog-attack|creature-feature|ozploitation|survival|farmhouse,Horror|Thriller,Breakout Movies|Kojo Pictures|Lightning Entertainment|ProdigyMovies|Screen Australia
tt1841642,Maria Bello|Frank Grillo|Cody Horn|Dustin Milligan|Scott Mechlowicz,Will Canon,deception|characters-murdered-one-by-one|murder|infrared|supernatural-power,Horror|Mystery|Thriller,Dimension Films|First Point Entertainment|IM Global
tt3826866,Kal Penn|Claudia Lee|Kenny Wormald|Toby Hemingway|Luke Baines,Nick Simon,homage|horror-cliche|hot|sex-scene|babe,Crime|Horror|Romance|Thriller,Alghanim Entertainment
tt4296026,Casper Van Dien|Lauren Parkinson|Lou Ferrigno|Milynn Sarley|Marah Fairclough,Jeremy M. Inman,superhero|marvel-comics|camp|alternate-dimension|fairy-tale,Action|Adventure|Fantasy|Sci-Fi,The Asylum
tt4938602,James Earl Jones|Rob Lowe|Gabrielle Union|Ernie Sabella|Max Charles,Howy Parkins,simba-character|mufasa-character|pumbaa-character|timon-character|rafiki-character,Animation|Adventure|Comedy|Drama|Family,Disney Television Animation
tt1837562,Sarah Gadon|Bel Powley|Emily Watson|Rupert Everett|Mark Hadfield,Julian Jarrold,based-on-true-story|king-george-vi-character|queen-elizabeth-ii|no-opening-credits|year-1945,Comedy|Drama|Romance,Ecosse Films|Film i Väst|Film i Väst|Filmgate Films|Lipsync
tt3479316,Mark Hapka|Jessica Rothe|Eric Jungmann|Constance Wu|Yorgo Constantine,Christopher Leone,multiverse|sideways-time-travel|low-budget-sci-fi-movie|shot|backdoor-pilot,Action|Sci-Fi,20th Digital Studio
tt3528666,Mike 'The Miz' Mizanin|Melissa Roxburgh|Josh Blacker|Matthew MacCaull|Danielle Moinet,William Kaufman,female-police-officer|female-police-officer-deceased|girls-with-guns|whistleblower|mercenary,Action|Crime|Drama|Thriller,WWE Studios
tt3520290,Ryan Kwanten|Freida Pinto|Carolina Gómez|Mickey Rourke|Maruia Shelton,Ken Sanzel,woman-with-a-gun|secret-club|gun-duel|bullet-proof-vest|boyfriend-girlfriend-relationship,Action,ETA Films
tt3395184,Lou Taylor Pucci|Nadia Hilker|Francesco Carnelutti|Nick Nevern|Chris Palko,Justin Benson|Aaron Moorhead,italy|mysterious-woman|cave|blood|immortality,Horror|Romance|Sci-Fi,Rustic Films|XYZ Films
tt3496372,Miranda Cosgrove|Donal Logue|Austin Butler|Tom Sizemore|Jenessa Grant,Adam Massey,father|father-daughter-relationship|female-protagonist|murder|shower,Drama|Horror|Mystery|Thriller,Darius Films
tt4227282,Anna Hutchison|Andrea Whitburn|Jennifer Koenig|Michael Dickson|Kurtis Maguire,Micheal Bafaro,body-in-a-trunk|road-rage|profanity-in-title|hitchhiker|gas-station,Action|Horror|Thriller,IW Wrecker Productions
tt3856042,Laura Marano|Leigh-Allyn Baker|Christian Campbell|Alain Goulem|Christian Paul,Erik Canuel,school,Adventure|Comedy|Family,Disney Channel|Muse Entertainment Enterprises
tt3687398,Nicolas Cage|Sarah Paulson|Peter Fonda|Connie Nielsen|Wendell Pierce,Austin Stark,21st-century|2010s|united-states-of-america|usa|politician,Drama,Paper Street Films|Back Lot Pictures|KGB Media
tt3090670,Jacqueline Kim|James Urbaniak|Freya Adams|Ken Jeong|Jennifer Ehle,Jennifer Phang,dystopia|mother-daughter-relationship|title-directed-by-female|mind-transference|single-mother,Drama|Family|Sci-Fi,No data in IMDb
tt4386242,Dove Cameron|Braeden Lemasters|Katherine McNamara|Casey Dubois|Tiffany Espensen,Peter DeLuise,cell-phone-photograph|trick-or-treat|trick-or-treating|trick-or-treaters|evil-laughter,Comedy|Fantasy|Horror,Universal 1440 Entertainment|EveryWhere Studios
tt3660770,Tina Fey,Mark Linfield|Alastair Fothergill,family-relationships|survival|monkey|jungle|mother-son-relationship,Documentary,Silverback Films|Wildstar Films
tt4505830,Tom Selleck|Kohl Sudduth|Gloria Reuben|Leslie Hope|William Sadler,Robert Harmon,bloody-nose|hostage|shot-multiple-times|page-torn-from-a-book|escort-service,Crime|Drama,Sony Pictures Television
tt3399896,Jai Koutrae|Todd Lasance|Kendra Appleton|Katherine Hicks|Bren Foster,Marc Furmie,nuclear-war|nuclear-explosion|muted-color-scene|man-uses-a-wheelchair|man-wears-a-hazmat-suit,Drama|Sci-Fi,Storm Vision Entertainment|Eclectik Vision|Storm Alley Entertainment|Maddfilms
tt1321869,Josh Hartnett|Bipasha Basu|Tamsin Egerton|James Mackay|Alice Englert,Roland Joffé,india|blood-dripping-onto-someone's-face|panther|panther-licking-human-blood|praying,Action|Adventure|Romance|Sci-Fi,Corsan|Bliss Media|Limelight International Media Entertainment|Neelmudra Entertainment|Ransom Films
tt3671542,Ryan Corr|Sarah Snook|Francesco Ferdinandi|Craig Stott|Lee Cormie,Neil Armfield,gay|aids|gay-kissing|gay-rights|male-frontal-nudity,Biography|Drama|Romance,Screen Australia|Goalpost Pictures|Snow Republic|John Barry Group
tt3343784,Gregg Turkington|John C. Reilly|Tye Sheridan|Lotte Verbeek|Amy Seimetz,Rick Alverson,desert|male-nudity|male-frontal-nudity|male-full-frontal-nudity|pubic-hair,Drama,Armando Montelongo Productions|Arts+Labor|Autumn Productions|Epic Pictures Group|Nomadic Independence Pictures
tt0420293,Billy Crudup|Michael Angarano|Moises Arias|Nicholas Braun|Gaius Charles,Kyle Patrick Alvarez,prisoner|guard|prison|psychology|university,Biography|Drama|History|Thriller,Coup d'Etat Films|Sandbar Pictures|Abandon Pictures|Priority Pictures
tt3640682,Josh Charles|Skylar Gaertner|Shayne Coleman|Sarah Silverman|Nick Taylor,Adam Salky,anal-sex|cheating-wife|extramarital-affair|horny-woman|unfaithful-spouse,Drama,Egoli Tossell Pictures|Koppelman/Levien
tt3401748,Shane Jacobson|Sarah Snook|Alan Tudyk|Coco Jack Gillies|Richard Davies,Stuart McDonald,penguin|dog|fox|chicken-farmer|guard-dog,Adventure|Family,Kmunications|The Film Company|WTFN Entertainment
tt2545428,Conrad Anker|Grace Chin|Jimmy Chin|Amee Hinkley|Jeremy Jones,Jimmy Chin|Elizabeth Chai Vasarhelyi,climbing|chinese-american|turkish-american|mountain-wall|trench-foot,Documentary|Sport,No data in IMDb
tt4661600,Brent Schraff|Sunny Singh Attar|Arun Rao|Jaquelynn Herrera,Sanjay Patel,non-comic-book-superhero|no-title-at-beginning|superhero|cgi-animation,Animation|Short|Action|Family|Fantasy,Pixar Animation Studios
tt1015471,Georgie Henley|Kara Hayward|Willa Cuthrell|Olivia DeJonge|Kal Penn,Caryn Waechter,accused-of-witchcraft|strained-mother-daughter-relationship|high-school-girl|high-school|teenage-girl,Drama|Mystery|Thriller,Cine Mosaic|Deep Forest Productions|Evenstar Films|Galatafilm
tt4145304,Cobie Smulders|Anders Holm|Gail Bean|Elizabeth McGovern|Aaron J. Nelson,Kris Rey,scene-during-opening-credits|stocking-cap|chicago-illinois|listening-to-a-car-radio|metal-detector,Comedy|Drama,Dark Arts Film|Forager Films
tt4116030,Holliday Grainger|Richard Madden|James Norton|Jodie Comer|Edward Holcroft,Jed Mercurio,1910s|colliery|cottage|wheelchair|motorised-chair,Drama|Romance,Hartswood Films|Serena Cullen Productions
tt1943014,Sienna Guillory|Gianni Capaldi|Enzo Cilenti|Michele Hicks|Eric Roberts,Jay Alaimo,after-dark-horrorfest,Horror,High Five Films|Wicked Within Movie
tt2016335,Milo Ventimiglia|Virginia Madsen|Neve Campbell|Leven Rambin|Peter Facinelli,Anna Mastro,based-on-short-film|based-on-short-story,Comedy|Drama,Purple Bench Films|Future Films|Barry Films|Calvin Productions|Oak Street Films
tt3836512,Ashley Benson|Matt McGorry|Kaili Vernoff|Rebecca Naomi Jones|Alex Cranmer,Branden Kramer,based-on-short-film|found-footage|home-invasion|stalker|laptop,Drama|Horror|Thriller,Start Media
